filename,label
cardboard_00352.jpg,cardboard
metal_01659.jpg,metal
trash_19647.jpg,trash
paper_02517.jpg,paper
paper_00879.jpg,paper
cardboard_00535.jpg,cardboard
metal_00272.jpg,metal
metal_01266.jpg,metal
glass_02711.jpg,glass
trash_12309.jpg,trash
cardboard_03061.jpg,cardboard
cardboard_01812.jpg,cardboard
plastic_00786.jpg,plastic
trash_17253.jpg,trash
cardboard_01627.jpg,cardboard
trash_13912.jpg,trash
paper_00712.jpg,paper
glass_03350.jpg,glass
metal_01127.jpg,metal
glass_03079.jpg,glass
glass_01777.jpg,glass
metal_02632.jpg,metal
glass_01970.jpg,glass
plastic_01748.jpg,plastic
trash_03938.jpg,trash
paper_02066.jpg,paper
plastic_02750.jpg,plastic
paper_01302.jpg,paper
glass_03377.jpg,glass
plastic_01106.jpg,plastic
cardboard_01176.jpg,cardboard
paper_03262.jpg,paper
paper_02102.jpg,paper
trash_18146.jpg,trash
glass_01947.jpg,glass
glass_04335.jpg,glass
glass_03954.jpg,glass
paper_02120.jpg,paper
cardboard_00347.jpg,cardboard
plastic_02931.jpg,plastic
trash_20111.jpg,trash
trash_05193.jpg,trash
glass_01917.jpg,glass
paper_02745.jpg,paper
cardboard_02756.jpg,cardboard
cardboard_02811.jpg,cardboard
plastic_03291.jpg,plastic
trash_12233.jpg,trash
metal_01123.jpg,metal
glass_04098.jpg,glass
trash_07414.jpg,trash
glass_00404.jpg,glass
plastic_03022.jpg,plastic
trash_08922.jpg,trash
glass_03204.jpg,glass
paper_03029.jpg,paper
plastic_01719.jpg,plastic
trash_12953.jpg,trash
paper_02441.jpg,paper
cardboard_02741.jpg,cardboard
paper_02407.jpg,paper
plastic_02785.jpg,plastic
trash_10748.jpg,trash
glass_03555.jpg,glass
glass_05370.jpg,glass
trash_12793.jpg,trash
cardboard_02264.jpg,cardboard
glass_03755.jpg,glass
trash_14563.jpg,trash
metal_02620.jpg,metal
glass_02927.jpg,glass
trash_17290.jpg,trash
trash_05693.jpg,trash
plastic_02191.jpg,plastic
trash_17197.jpg,trash
trash_10321.jpg,trash
plastic_03041.jpg,plastic
plastic_03060.jpg,plastic
trash_15921.jpg,trash
metal_01156.jpg,metal
cardboard_00373.jpg,cardboard
glass_04011.jpg,glass
glass_02870.jpg,glass
metal_01304.jpg,metal
trash_06156.jpg,trash
trash_01795.jpg,trash
plastic_00282.jpg,plastic
plastic_01339.jpg,plastic
glass_00870.jpg,glass
cardboard_02527.jpg,cardboard
glass_03698.jpg,glass
paper_01892.jpg,paper
glass_01279.jpg,glass
paper_02154.jpg,paper
metal_00609.jpg,metal
paper_00725.jpg,paper
plastic_02295.jpg,plastic
metal_01979.jpg,metal
metal_01187.jpg,metal
glass_03627.jpg,glass
paper_01803.jpg,paper
trash_00093.jpg,trash
metal_01212.jpg,metal
metal_00481.jpg,metal
plastic_01965.jpg,plastic
cardboard_01478.jpg,cardboard
paper_00180.jpg,paper
trash_04611.jpg,trash
cardboard_01501.jpg,cardboard
metal_02636.jpg,metal
metal_00383.jpg,metal
metal_01680.jpg,metal
cardboard_00793.jpg,cardboard
glass_04883.jpg,glass
metal_02618.jpg,metal
plastic_02208.jpg,plastic
paper_02272.jpg,paper
plastic_00537.jpg,plastic
plastic_01468.jpg,plastic
plastic_01441.jpg,plastic
metal_02567.jpg,metal
paper_00043.jpg,paper
paper_00772.jpg,paper
trash_12418.jpg,trash
glass_02079.jpg,glass
cardboard_01977.jpg,cardboard
plastic_02982.jpg,plastic
trash_08144.jpg,trash
trash_09118.jpg,trash
glass_01837.jpg,glass
plastic_01237.jpg,plastic
paper_01895.jpg,paper
cardboard_02011.jpg,cardboard
glass_02768.jpg,glass
cardboard_01729.jpg,cardboard
